pclass,sex,age,sibsp,parch,fare,body
2,0,27.0,0,0,15.0333,160.8099173553719
3,0,29.881137667304014,0,0,7.8958,160.8099173553719
1,0,29.881137667304014,0,0,27.7208,160.8099173553719
2,0,47.0,0,0,10.5,160.8099173553719
1,0,17.0,0,2,110.8833,160.8099173553719
1,0,80.0,0,0,30.0,160.8099173553719
3,0,22.0,0,0,7.8958,160.8099173553719
2,0,62.0,0,0,9.6875,160.8099173553719
3,1,29.881137667304014,0,0,7.6292,160.8099173553719
3,0,23.0,0,0,7.05,160.8099173553719
3,1,29.881137667304014,0,0,8.1375,160.8099173553719
2,0,21.0,0,0,73.5,160.8099173553719
1,1,48.0,1,1,79.2,160.8099173553719
3,0,21.0,0,0,8.4333,160.8099173553719
3,0,19.0,0,0,8.05,160.8099173553719
1,0,71.0,0,0,49.5042,22.0
1,0,29.881137667304014,0,0,30.5,160.8099173553719
3,1,0.75,2,1,19.2583,160.8099173553719
3,0,29.881137667304014,0,0,7.8958,160.8099173553719
2,1,1.0,1,2,41.5792,160.8099173553719
1,0,29.881137667304014,0,0,26.55,160.8099173553719
3,1,3.0,3,1,21.075,160.8099173553719
1,0,64.0,1,0,75.25,160.8099173553719
2,0,22.0,0,0,10.5,160.8099173553719
2,1,7.0,0,2,26.25,160.8099173553719
3,0,29.0,0,0,7.8958,160.8099173553719
3,0,29.881137667304014,0,0,7.2292,160.8099173553719
1,1,76.0,1,0,78.85,160.8099173553719
1,1,17.0,1,0,57.0,160.8099173553719
3,0,30.0,0,0,7.225,160.8099173553719
3,0,15.0,1,1,7.2292,160.8099173553719
3,0,34.5,0,0,7.8292,70.0
1,0,47.0,0,0,25.5875,160.8099173553719
2,0,29.881137667304014,0,0,15.0458,160.8099173553719
1,0,23.0,0,1,63.3583,160.8099173553719
3,0,25.0,0,0,7.7417,160.8099173553719
3,1,16.0,1,1,8.5167,160.8099173553719
3,0,29.881137667304014,0,0,7.75,160.8099173553719
3,0,19.0,0,0,0.0,160.8099173553719
3,0,39.0,0,0,7.925,160.8099173553719
3,0,24.5,0,0,8.05,284.0
2,0,29.881137667304014,0,0,10.7083,160.8099173553719
1,0,42.0,0,0,42.5,160.8099173553719
3,1,29.881137667304014,0,0,7.7792,160.8099173553719
3,0,24.0,0,0,9.5,160.8099173553719
1,1,53.0,2,0,51.4792,160.8099173553719
2,0,57.0,0,0,12.35,160.8099173553719
3,0,20.0,0,0,8.05,160.8099173553719
1,1,18.0,1,0,60.0,160.8099173553719
2,1,20.0,2,1,23.0,160.8099173553719
1,1,19.0,1,0,91.0792,160.8099173553719
1,1,35.0,0,0,512.3292,160.8099173553719
3,0,29.881137667304014,0,0,7.75,160.8099173553719
3,1,39.0,0,5,29.125,327.0
2,0,16.0,0,0,26.0,160.8099173553719
2,1,30.0,0,0,13.0,160.8099173553719
3,1,29.881137667304014,1,0,14.4542,160.8099173553719
1,1,54.0,1,0,59.4,160.8099173553719
3,0,29.881137667304014,0,0,7.2292,160.8099173553719
2,0,48.0,0,0,13.0,271.0
3,0,16.0,0,0,9.2167,160.8099173553719
1,0,40.0,0,0,27.7208,160.8099173553719
3,1,39.0,1,5,31.275,160.8099173553719
1,1,29.881137667304014,1,0,82.1708,160.8099173553719
1,0,57.0,1,1,164.8667,160.8099173553719
1,0,36.0,0,0,26.2875,160.8099173553719
3,1,29.881137667304014,1,1,22.3583,160.8099173553719
2,0,43.0,1,1,26.25,160.8099173553719
2,1,25.0,0,1,26.0,160.8099173553719
3,0,23.0,0,0,9.225,160.8099173553719
2,0,34.0,1,0,26.0,283.0
2,0,24.0,2,0,73.5,160.8099173553719
3,0,29.881137667304014,0,0,8.05,160.8099173553719
3,0,22.0,0,0,8.05,47.0
1,1,58.0,0,0,146.5208,160.8099173553719
1,0,50.0,1,1,211.5,160.8099173553719
3,0,19.0,0,0,7.775,160.8099173553719
2,0,43.0,0,1,21.0,160.8099173553719
3,0,3.0,4,2,31.3875,160.8099173553719
3,0,17.0,0,0,7.8958,160.8099173553719
3,0,34.0,0,0,8.05,176.0
3,1,29.881137667304014,0,0,7.8792,160.8099173553719
1,0,29.881137667304014,0,0,35.5,160.8099173553719
2,0,23.0,0,0,13.0,160.8099173553719
3,0,51.0,0,0,8.05,160.8099173553719
2,1,29.881137667304014,0,0,33.0,160.8099173553719
2,0,52.0,0,0,13.0,19.0
2,0,34.0,1,0,26.0,160.8099173553719
3,0,55.5,0,0,8.05,201.0
2,0,32.5,1,0,30.0708,43.0
3,0,29.881137667304014,0,0,7.05,160.8099173553719
1,1,22.0,1,0,66.6,160.8099173553719
3,1,22.0,1,0,13.9,160.8099173553719
2,1,14.0,1,0,30.0708,160.8099173553719
1,1,31.0,0,0,134.5,160.8099173553719
2,1,36.0,0,3,39.0,160.8099173553719
3,0,36.0,1,0,15.55,160.8099173553719
3,1,29.881137667304014,1,0,15.5,160.8099173553719
2,1,8.0,1,1,26.0,160.8099173553719
3,1,4.0,0,2,22.025,160.8099173553719
3,1,15.0,0,0,7.225,160.8099173553719
2,1,22.0,1,1,29.0,160.8099173553719
1,0,42.0,0,0,26.55,160.8099173553719
3,0,25.0,0,0,7.25,160.8099173553719
3,1,23.0,0,0,8.6625,160.8099173553719
3,0,20.0,0,0,9.225,89.0
3,0,27.0,1,0,14.4542,160.8099173553719
3,1,29.881137667304014,0,0,7.7208,160.8099173553719
2,0,70.0,0,0,10.5,160.8099173553719
3,0,20.5,0,0,7.25,160.8099173553719
3,0,9.0,1,1,15.9,160.8099173553719
3,0,30.0,0,0,7.2292,160.8099173553719
3,1,17.0,4,2,7.925,160.8099173553719
3,0,29.881137667304014,0,0,15.1,160.8099173553719
2,0,29.881137667304014,0,0,13.0,160.8099173553719
3,0,21.0,0,0,7.8208,160.8099173553719
3,0,1.0,1,2,20.575,160.8099173553719
1,0,30.0,0,0,26.0,160.8099173553719
1,0,45.0,0,0,26.55,160.8099173553719
3,1,19.0,1,1,15.7417,160.8099173553719
3,0,8.0,4,1,29.125,160.8099173553719
3,0,30.0,0,0,7.25,72.0
3,0,30.5,0,0,8.05,50.0
2,0,0.83,0,2,29.0,160.8099173553719
3,0,29.0,0,0,7.875,160.8099173553719
1,0,36.0,0,1,512.3292,160.8099173553719
3,0,29.881137667304014,0,0,7.225,160.8099173553719
3,1,29.0,0,2,15.2458,160.8099173553719
3,0,22.0,0,0,8.05,160.8099173553719
3,0,29.881137667304014,0,0,7.8958,160.8099173553719
2,0,30.0,0,0,13.0,75.0
2,0,26.0,0,0,13.0,160.8099173553719
3,0,29.881137667304014,0,0,8.05,160.8099173553719
